All,Все
None,Нет
"Allowed Scopes","Разрешённые области"
"You need more permissions to apply some of the rule updates.","У вас недостаточно прав для изменения некоторых правил."
"You need more permissions to save this item.","У вас недостаточно прав для сохранения этого элемента."
"You need more permissions to delete this item.","У вас недостаточно прав для удаления этого элемента."
"You need more permissions to view this item.","У вас недостаточно прав для просмотра этого элемента."
"Incorrect website ID: %1","Некорректный ID веб-сайта: %1"
"You need more permissions to access website ""%1"".","У вас недостаточно прав для доступа к веб-сайту «%1»."
"You need more permissions to save this setting.","У вас недостаточно прав для сохранения этого параметра."
"Role Scopes","Области ролей"
Custom,Выборочный
"More permissions are needed to delete the ""%1"" item.","У вас недостаточно прав для удаления товаров ""%1""."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Эта сущность должна быть назначена для представления магазина. Проверьте назначение сущности и повторите попытку."
"Orders can only be completed in an active store. Verify the store and try again.","Заказы могут быть завершены только в действующем магазине. Проверьте магазин и повторите попытку."
"This item needs to be assigned to a store view. Assign item and try again.","Этот элемент должен быть назначен к представлению магазина. Назначьте элемент и повторите попытку."
"More permissions are needed to save this item.","У вас недостаточно прав для сохранения этого элемента."
"More permissions are needed to delete this item.","У вас недостаточно прав для удаления этого элемента."
"More permissions are needed to view this item.","У вас недостаточно прав для просмотра этого элемента."
"At least one website or store group needs to be selected. Select and try again.","Необходимо выбрать хотя бы один веб-сайт или группу магазинов. Выберите и повторите попытку."
"More permissions are needed to set All Scopes to a Role.","У вас недостаточно прав для применения ""Все области"" к Роли."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","Неверный идентификатор веб-сайта «%1». Проверьте идентификатор веб-сайта и повторите попытку."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","Неверный идентификатор магазина «%1». Проверьте идентификатор магазина и повторите попытку."
"More permissions are needed to save this setting.","У вас недостаточно прав для сохранения этой настройки."
"Read Details",Подробнее
"Mark as Read","Пометить как прочитанное"
"Are you sure?","Вы уверены?"
Remove,Удалить
"Messages Inbox","Входящие сообщения"
"You have %1 new system messages","У вас есть новые системные сообщения %1"
"You have %1 new system message","У вас есть %1 новое системное сообщение"
"Incoming Message","Входящее сообщение"
close,закрыть
Notifications,Уведомления
"The message has been marked as Read.","Сообщение было помечено как прочитанное."
"We couldn't mark the notification as Read because of an error.","Мы не можем пометить уведомление как прочитанное из-за ошибки."
"Please select messages.","Пожалуйста, выберите сообщения."
"A total of %1 record(s) have been marked as Read.","%1 записи(ей) было помечено как прочитанные."
"Total of %1 record(s) have been removed.","%1 запись(и) была(и) удалены."
"We couldn't remove the messages because of an error.","Мы не cмогли удалить сообщения из-за ошибки."
"The message has been removed.","Сообщение было удалено."
"1 Hour","1 час"
"2 Hours","2 часа"
"6 Hours","6 часов"
"12 Hours","12 часов"
"24 Hours","24 часа"
critical,критично
major,важно
minor,обычно
notice,уведомление
"Wrong message type","Неправильный тип сообщения"
"Wrong notification ID specified.","Указан неправильный идентификатор уведомления."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} не рекомендуется использовать в производственной среде для объявления небезопасного Base URL / Base Secure URL. Настоятельно рекомендуется изменить это значение в вашем Magento <a href=""%1""> конфигурации</a>."
"One or more of the Cache Types are invalidated: %1. ","Один или несколько типов кэша признаны недействительными: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Пожалуйста, перейдите на <a href=""%1"">Управление кэшем</a> и обновите типы кэша."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Нам не удалось синхронизировать один или несколько медиа-файлов. Пожалуйста, обратитесь к log файлу для подробной информации."
"Synchronization of media storages has been completed.","Синхронизация медиа хранилищ была завершена."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Ваш веб-сервер настроен неправильно и разрешает несанкционированный доступ к важным файлам. Пожалуйста, свяжитесь с хостинг-провайдером."
"System Messages:","Системные сообщения:"
"Critical System Messages","Критичные системные сообщения"
"Major System Messages","Основные системные сообщения"
"System messages","Системные сообщения"
Close,Закрыть
"See All (","Просмотреть все ("
" unread)"," непрочитанные)"
"Show Toolbar","Показать панель инструментов"
"Show List","Показать список"
"Use HTTPS to Get Feed","Использовать HTTPS для Feed-потока"
"Update Frequency","Частота обновления"
"Last Update","Последнее обновление"
Severity,Серьезность
"Date Added",Добавлено
Message,Сообщение
Actions,Действия
"Close popup","Закрыть всплывающее окно"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Вы просмотрели и разрешили все последние уведомления. Обновите страницу для очистки уведомления."
"Manage Shopping Cart","Управление корзиной"
"Create Order","Создать заказ"
Back,Назад
"Add Products","Добавить товары"
"Update Items and Quantities","Обновление элементов и количества"
"Are you sure you want to clear your cart?","Вы уверены, что хотите очистить корзину?"
"Clear my shopping cart","Очистить мою корзину"
"Add selections to my cart","Добавить выбранные в корзину"
Cancel,Отмена
"Shopping Cart for %1 in %2","Корзина для %1 в %2"
"Select products you want to buy","Выберите продукты, которые хотите купить"
Product,Товар
Price,Цена
Quantity,Количество
"Products in the Comparison List (%1)","Товары в списке сравнения (%1)"
"Last ordered items (%1)","Недавно заказанные товары (%1)"
Products,Товары
ID,Идентификатор
SKU,Артикул
"Recently Compared Products (%1)","Недавно сравнивались (%1)"
"Recently Viewed Products (%1)","Недавно просматривали (%1)"
"Add to Shopping Cart by SKU","Добавить товары в корзину по артикулу"
"Add to Shopping Cart","Добавить в корзину"
"Wish List (%1)","Список желаний (%1)"
Apply,Применить
Configure,Настроить
"Add to Order by SKU","Добавить товары в заказ по артикулу"
"Add to Order","Добавить в заказ"
"Add Products to Order","Добавить товары в заказ"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> товар(ов) нуждаются во внимании.</span>"
"Remove All","Удалить все"
"Only %1%2%3 left in stock","В наличии осталось только %1%2%3"
"You can buy up to %1 of these per purchase.","Вы можете купить не больше %1 в одном заказе."
"You must buy at least %1 of these per purchase.","Вы должны купить как минимум %1 в одном заказе."
"Specify the product's options.","Укажите опции товара."
"Alert me when this item is available.","Сообщите мне, когда этот товар будет доступен."
"We can't find this customer.","Мы не можем найти этого клиента."
"Shopping cart management is disabled for this customer.","Редактирование корзины отключено для этого клиента."
Customers,Покупатели
"Shopping Cart",Корзина
"You do not have access to this.","Доступ закрыт."
"An error has occurred. See error log for details.","Произошла ошибка. Смотрите подробности в журнале ошибок."
"You cannot configure a product.","Нельзя настроить продукт."
"You removed the items.","Вы удалили элементы."
"You removed the item.","Вы удалили элемент."
"You added %1 to your shopping cart.","%1 добавлены в вашу корзину."
"You cannot add a product.","Нельзя добавить продукт."
"Order by SKU","Сортировать по SKU"
"The SKU was not found in the catalog.","Артикул не найден в каталоге."
"Availability: Out of stock.","Наличие: Нет в наличии."
"We don't have as many of these as you want.","У нас нет столько, сколько вы хотите."
"You can't add this many to your cart.","Вы не можете добавить так много в вашу корзину."
"You need to choose options for your item.","Необходимо выбрать параметры для элемента."
"We can't add the item to your cart.","Мы не можем добавить товар в корзину."
"Please enter an actual number in the ""Qty"" field.","Пожалуйста, введите фактическое количество в поле «Кол-во»."
"This product is assigned to another website.","Этот продукт присвоен другому сайту."
"You can add only enabled products.","Вы можете добавить только включенные товары."
"You cannot upload this file.","Вы не можете загрузить этот файл."
"The file is empty.","Файл пуст."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Вы не ввели SKU продукта. Пожалуйста, <a href=""%1"">нажмите здесь</a>, чтобы добавить продукт(ы) по SKU."
"You have not entered a product SKU.","Вы не указали артикул товара."
"We can't add a product to cart by id ""%1"".","Мы не можем добавить товар в корзину по id «%1»."
"Something went wrong while reordering this product.","Что-то пошло не так во время повторного заказа этого продукта."
"We can't find this wish list.","Не удается найти этот список желаний."
"You added %1 product to your shopping cart.","Вы добавили %1 товар в корзину."
"You added %1 products to your shopping cart.","Вы добавили %1 продукт(ов) в корзину."
"%1 product requires your attention.","%1 продукт требует вашего внимания."
"%1 products require your attention.","%1 продуктов требуют вашего внимания."
"Yes, for Specified Customer Groups","Да, для Указанные Группы Клиентов"
"Yes, for Everyone","Да, для всех"
No,Нет
"The file is corrupt.","Файл поврежден."
"Please upload the file in .csv format.","Пожалуйста, загрузите файл в формате CSV."
"%1 item(s) need your attention.","%1 элемент(ы) требуют вашего внимания."
"Apply Coupon Code","Применить код купона"
"Remove Coupon Code","Удалить код купона"
"The coupon code ""%1"" is not valid.","Купон код «%1» не действительный."
"Shopping Cart Items","Товары корзины"
Qty,Кол-во
Subtotal,"Промежуточный итог"
Discount,Скидка
"Row Subtotal","Итого строк"
Action,Действие
"No ordered items","Нет заказанных товаров"
"Total %1 product(s)","Всего %1 продукт (ов)"
Subtotal:,"Промежуточный итог:"
"Please select",Выберите
"Move to Wish List","Переместить в список желаний"
"No item specified.","Нет указанных элементов."
"Are you sure you want to remove this item?","Вы действительно хотите удалить этот элемент?"
"SKU number","Номер SKU"
"Upload File","Загрузить файл"
"Your csv file must include ""sku"" and ""qty"" columns.","Ваш csv файл должен содержать колонки ""sku"" и ""qty""."
Reset,Сбросить
"SKU: ","Артикул: "
"Only <span id=""%1_max_allowed"">%2</span> in stock","Только <span id=""%1_max_allowed"">%2</span> на складе"
Item,Элемент
"See price before order confirmation.","Посмотреть цену до подтверждения заказа."
"What's this?","Что это?"
"Incl. Tax","Включая налог"
"Excl. Tax","Без налога"
"Edit item parameters","Изменить параметры позиции"
Edit,Редактировать
"Remove item","Удалить позицию"
